ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE
6732,36000,1,2,2,33
6733,50000,1,1,1,43
6734,46000,0,1,2,30
6735,38000,1,2,1,34
6736,40000,0,1,2,29
6737,6000,0,2,2,43
6738,42000,1,1,2,33
6739,6000,1,2,1,34
6740,12000,1,2,2,44
6741,30000,1,1,2,35
6742,26000,1,1,1,41
6743,42000,1,2,1,34
6744,16000,1,2,1,39
6745,48000,1,1,1,36
6746,10000,0,3,2,44
6747,32000,0,2,1,49
6748,52000,1,1,2,31
6749,16000,0,2,2,31
6750,56000,1,2,1,35
6751,10000,0,3,2,36
6752,52000,1,1,2,31
6753,6000,1,2,1,25
6754,26000,0,2,2,33
6755,10000,1,3,2,48
6756,40000,1,1,1,58
6757,112000,0,2,1,32
6758,4000,0,3,2,26
6759,60000,1,1,2,48
6760,20000,1,2,1,29
6761,4000,0,3,2,43
6762,14000,0,3,1,56
6763,12000,1,2,2,31
6764,36000,1,2,1,51
6765,40000,0,1,1,34
6766,34000,1,2,1,42
6767,34000,1,1,1,51
6768,6000,0,2,2,27
6769,28000,1,1,1,37
6770,4000,0,1,2,25
6771,104000,0,1,2,39
6772,6000,1,2,2,22
6773,14000,1,1,2,24
6774,10000,0,3,1,36
6775,34000,1,1,2,25
6776,32000,1,2,2,24
6777,84000,1,2,2,25
6778,6000,0,3,2,45
6779,12000,0,2,1,36
6780,34000,1,1,1,44
6781,4000,0,3,1,52
6782,58000,1,1,1,45
6783,12000,0,1,2,31
6784,100000,1,1,1,36
6785,46000,1,3,2,54
6786,4000,0,1,2,25
6787,28000,1,2,2,30
6788,100000,0,2,1,31
6789,14000,1,2,2,25
6790,56000,1,2,1,50
6791,26000,0,2,1,53
6792,68000,1,2,1,42
6793,42000,0,1,2,28
6794,16000,1,2,2,57
6795,20000,1,1,2,28
6796,4000,0,1,2,22
6797,44000,1,1,1,46
6798,4000,1,2,1,26
6799,20000,1,2,2,32
6800,22000,1,2,2,24
6801,6000,1,1,2,29
6802,6000,1,2,1,34
6803,12000,0,1,2,27
6804,52000,1,2,1,53
6805,100000,1,1,2,29
6806,22000,1,1,2,35
6807,36000,1,1,2,31
6808,34000,1,1,1,35
6809,64000,1,1,1,34
6810,10000,0,2,2,26
6811,34000,1,1,2,32
6812,24000,1,1,1,51
6813,32000,0,2,2,29
6814,10000,1,1,2,27
6815,6000,1,2,1,44
6816,48000,1,2,1,45
6817,10000,0,3,0,50
6818,36000,1,1,2,31
6819,48000,1,3,2,50
6820,10000,0,2,2,23
6821,10000,1,2,1,30
6822,40000,0,2,1,36
6823,46000,1,1,1,35
6824,4000,0,3,2,56
6825,20000,0,2,1,50
6826,4000,0,2,2,39
6827,10000,1,2,2,26
6828,18000,0,2,2,32
6829,58000,1,1,1,39
6830,36000,1,2,2,34
6831,22000,0,1,1,32
6832,10000,0,3,2,28
6833,58000,1,2,1,48
6834,96000,0,2,1,39
6835,6000,1,2,2,22
6836,76000,0,1,1,50
6837,6000,1,2,2,22
6838,40000,0,3,1,29
6839,72000,1,1,2,30
6840,10000,0,2,2,40
6841,40000,0,2,2,32
6842,12000,0,2,2,30
6843,20000,1,2,1,38
6844,66000,0,1,1,37
6845,100000,1,1,2,44
6846,40000,1,2,1,44
6847,84000,1,1,1,39
6848,22000,1,2,2,23
6849,26000,1,3,1,46
6850,50000,0,2,1,36
6851,10000,1,2,2,26
6852,48000,0,2,1,54
6853,60000,1,1,2,28
6854,40000,1,1,1,35
6855,26000,1,2,2,29
6856,30000,1,1,2,28
6857,40000,0,1,2,30
6858,12000,1,2,1,34
6859,72000,0,2,1,31
6860,22000,1,4,1,37
6861,10000,0,1,2,27
6862,2000,1,2,2,46
6863,24000,0,1,1,51
6864,88000,0,1,2,33
6865,10000,0,2,1,49
6866,42000,0,2,2,32
6867,32000,0,1,2,30
6868,36000,1,2,1,39
6869,66000,1,2,1,45
6870,24000,1,2,2,37
6871,72000,1,1,2,30
6872,88000,1,5,2,29
6873,46000,1,1,1,44
6874,6000,0,2,2,28
6875,52000,0,2,1,34
6876,4000,1,3,3,56
6877,14000,1,3,2,55
6878,18000,0,3,1,31
6879,6000,1,2,2,22
6880,54000,0,2,1,51
6881,6000,0,2,1,35
6882,48000,0,2,2,30
6883,6000,1,2,2,31
6884,22000,0,2,1,32
6885,100000,0,3,1,55
6886,48000,1,2,2,32
6887,28000,1,2,2,25
6888,26000,0,1,2,27
6889,10000,1,3,1,51
6890,52000,1,1,2,25
6891,6000,1,3,1,47
6892,12000,0,1,2,26
6893,4000,1,3,1,35
6894,70000,1,2,3,44
6895,26000,1,2,1,41
6896,78000,1,2,2,26
6897,6000,0,3,2,31
6898,34000,1,2,1,35
6899,4000,0,2,2,27
6900,38000,1,1,2,32
6901,96000,0,1,1,37
6902,12000,0,2,2,33
6903,10000,1,3,2,50
6904,32000,1,1,2,25
6905,56000,1,1,2,29
6906,48000,1,3,1,36
6907,4000,1,2,1,41
6908,46000,1,3,1,40
6909,80000,0,1,2,28
6910,16000,0,2,1,34
6911,40000,1,1,1,37
6912,20000,0,2,2,26
6913,30000,0,2,3,25
6914,36000,1,2,2,23
6915,72000,1,2,2,46
6916,64000,0,1,2,38
6917,44000,0,1,1,42
6918,62000,0,1,1,47
6919,10000,0,2,2,50
6920,32000,1,2,2,23
6921,4000,0,3,2,44
6922,12000,0,1,2,24
6923,78000,0,2,1,37
6924,90000,0,1,2,31
6925,36000,0,2,2,26
6926,28000,0,3,2,30
6927,16000,0,2,2,26
6928,48000,1,3,2,35
6929,16000,0,2,2,33
6930,60000,1,2,1,31
6931,78000,1,1,2,29
6932,64000,0,1,1,37
6933,68000,1,1,2,29
6934,18000,1,2,1,32
6935,26000,1,2,2,33
6936,56000,0,1,1,38
6937,62000,1,2,2,38
6938,26000,0,2,2,29
6939,6000,0,2,1,39
6940,34000,1,2,2,34
6941,48000,0,1,1,29
6942,22000,1,1,2,28
6943,4000,1,3,1,23
6944,42000,1,1,2,30
6945,72000,1,2,1,43
6946,16000,0,3,1,59
6947,34000,1,1,2,34
6948,22000,0,2,1,30
6949,2000,1,1,2,27
6950,12000,1,1,2,23
6951,10000,0,1,2,33
6952,10000,1,2,2,22
6953,14000,1,2,2,26
6954,12000,0,1,2,31
6955,20000,1,2,1,40
6956,100000,0,2,2,28
6957,68000,1,2,2,27
6958,90000,0,1,2,31
6959,32000,0,1,2,31
6960,10000,0,2,1,25
6961,100000,0,2,1,38
6962,16000,1,2,2,23
6963,48000,1,5,1,41
6964,4000,1,1,2,24
6965,10000,0,2,2,27
6966,16000,1,2,2,34
6967,30000,1,1,2,40
6968,44000,0,2,2,30
6969,46000,1,3,2,25
6970,28000,1,2,1,30
6971,36000,0,2,2,40
6972,6000,0,2,2,35
6973,16000,0,2,1,36
6974,28000,0,2,2,30
6975,72000,0,1,1,37
6976,26000,1,1,2,28
6977,14000,1,1,1,36
6978,100000,0,2,2,32
6979,4000,0,2,2,30
6980,28000,0,2,1,45
6981,6000,1,2,2,28
6982,10000,0,1,1,33
6983,76000,0,2,1,38
6984,124000,1,1,2,52
6985,40000,0,3,1,69
6986,4000,1,2,1,25
6987,50000,1,1,2,26
6988,24000,1,2,2,25
6989,30000,0,3,1,46
6990,40000,0,1,1,39
6991,36000,1,1,1,44
6992,100000,1,1,2,34
6993,100000,0,2,1,39
6994,16000,1,1,1,47
6995,16000,1,3,2,23
6996,46000,1,1,2,28
6997,14000,0,2,2,32
6998,4000,0,2,2,25
6999,80000,0,2,2,33
7000,84000,1,1,1,30
7001,64000,0,2,2,37
7002,94000,0,1,2,30
7003,14000,0,1,2,31
7004,14000,1,2,2,23
7005,6000,1,2,1,22
7006,6000,1,2,1,45
7007,14000,0,2,2,35
7008,42000,0,2,2,31
7009,34000,1,1,1,36
7010,60000,0,2,2,31
7011,10000,1,1,2,24
7012,40000,1,2,1,30
7013,44000,1,1,2,36
7014,52000,1,1,2,30
7015,2000,1,2,1,37
7016,28000,0,1,2,28
7017,66000,1,2,1,42
7018,26000,1,1,2,29
7019,72000,1,1,2,33
7020,100000,0,1,2,36
7021,48000,0,2,1,33
7022,12000,1,2,2,29
7023,100000,1,2,1,53
7024,54000,1,2,1,33
7025,10000,0,2,2,33
7026,26000,1,1,1,36
7027,40000,1,1,1,55
7028,72000,1,2,2,25
7029,40000,1,1,1,50
7030,16000,1,1,1,43
7031,6000,1,3,1,45
7032,10000,0,2,2,33
7033,90000,1,1,1,69
7034,26000,1,2,1,37
7035,4000,0,3,2,22
7036,34000,0,2,2,27
7037,48000,1,2,1,38
7038,72000,1,1,1,28
7039,2000,0,2,2,26
7040,2000,1,3,1,42
7041,30000,1,2,1,35
7042,10000,0,5,2,33
7043,8000,0,2,2,26
7044,16000,0,2,2,25
7045,10000,0,2,2,28
7046,34000,0,2,2,42
7047,4000,0,2,1,62
7048,6000,1,1,2,23
7049,4000,0,1,2,29
7050,20000,1,3,2,66
7051,10000,0,2,1,34
7052,24000,1,3,1,54
7053,68000,1,2,2,39
7054,22000,1,2,2,23
7055,18000,1,2,1,42
7056,32000,0,2,2,28
7057,34000,0,1,2,34
7058,88000,1,2,1,28
7059,22000,0,2,1,55
7060,10000,0,3,2,23
7061,20000,1,1,1,39
7062,62000,1,2,2,27
7063,24000,1,2,1,40
7064,10000,1,3,1,25
7065,26000,1,2,2,29
7066,52000,0,1,2,30
7067,98000,0,1,2,35
7068,6000,1,1,2,25
7069,12000,1,1,2,31
7070,28000,1,2,1,45
7071,4000,0,1,2,23
7072,10000,1,2,1,29
7073,80000,1,2,2,30
7074,86000,1,2,1,43
7075,80000,1,1,1,32
7076,40000,1,2,2,36
7077,16000,0,3,2,43
7078,28000,1,1,2,28
7079,4000,1,2,2,28
7080,46000,1,2,1,44
7081,24000,1,2,1,37
7082,42000,1,1,1,34
7083,30000,0,1,2,31
7084,26000,1,2,1,53
7085,4000,0,1,2,35
7086,40000,0,1,2,29
7087,16000,1,1,2,22
7088,16000,0,2,2,30
7089,10000,0,2,1,43
7090,40000,1,1,1,44
7091,16000,0,2,1,45
7092,26000,0,2,2,37
7093,62000,1,1,1,35
7094,38000,0,2,1,37
7095,46000,1,1,1,38
7096,14000,1,2,2,25
7097,100000,1,1,1,30
7098,24000,0,2,2,35
7099,16000,1,2,1,39
7100,10000,1,2,1,34
7101,12000,1,2,2,29
7102,40000,1,1,1,47
7103,10000,1,2,2,23
7104,72000,0,2,2,31
7105,88000,1,2,2,25
7106,34000,1,2,1,52
7107,58000,0,1,2,29
7108,42000,0,1,2,37
7109,4000,0,1,2,24
7110,72000,1,1,1,32
7111,50000,0,1,1,53
7112,6000,0,2,1,30
7113,14000,1,3,1,59
7114,14000,0,1,2,26
7115,4000,0,2,2,47
7116,40000,1,1,2,37
7117,18000,0,3,2,25
7118,20000,1,1,1,52
7119,56000,1,3,1,51
7120,10000,0,3,1,38
7121,24000,1,2,2,29
7122,26000,0,2,2,29
7123,40000,1,1,2,30
7124,70000,0,1,2,34
7125,30000,1,1,2,32
7126,26000,1,1,1,30
7127,66000,1,1,2,34
7128,2000,0,5,2,35
7129,72000,0,1,2,29
7130,24000,0,1,1,36
7131,56000,1,1,2,35
7132,20000,1,2,1,45
7133,14000,0,2,2,31
7134,10000,0,2,1,36
7135,94000,1,1,2,35
7136,70000,0,1,2,31
7137,28000,1,2,2,23
7138,76000,0,1,2,27
7139,10000,0,2,2,24
7140,4000,1,3,1,25
7141,38000,1,3,1,39
7142,44000,0,2,1,39
7143,4000,1,2,1,43
7144,20000,0,2,1,52
7145,30000,1,1,2,26
7146,10000,1,2,1,33
7147,10000,0,2,2,53
7148,74000,1,2,2,39
7149,40000,1,2,1,40
7150,40000,0,2,1,34
7151,6000,0,2,2,37
7152,40000,0,1,2,26
7153,48000,1,2,2,26
7154,8000,1,2,1,24
7155,10000,0,2,2,35
7156,10000,1,3,1,48
7157,32000,1,2,2,25
7158,48000,1,3,1,28
7159,46000,1,1,2,29
7160,40000,1,2,2,32
7161,72000,1,1,2,30
7162,100000,1,1,1,42
7163,4000,0,3,2,22
7164,6000,1,1,1,44
7165,16000,1,2,1,35
7166,6000,1,2,1,52
7167,48000,0,4,2,29
7168,56000,0,2,2,29
7169,34000,1,2,2,33
7170,14000,1,2,2,24
7171,22000,1,2,3,27
7172,20000,1,3,2,27
7173,60000,1,2,1,33
7174,30000,1,1,1,40
7175,30000,0,2,2,26
7176,42000,1,1,2,35
7177,4000,0,2,2,25
7178,4000,0,2,1,38
7179,54000,0,2,1,49
7180,40000,1,1,1,33
7181,40000,0,1,1,34
7182,72000,0,1,2,34
7183,4000,0,2,1,40
7184,8000,1,1,1,27
7185,10000,0,3,1,50
7186,20000,1,1,2,28
7187,10000,0,2,2,21
7188,4000,0,1,2,23
7189,20000,0,2,1,44
7190,16000,1,2,1,24
7191,6000,0,2,2,36
7192,16000,0,5,1,25
7193,34000,1,1,2,30
7194,10000,1,3,1,36
7195,60000,1,1,1,31
7196,4000,1,1,2,26
7197,100000,1,2,1,41
7198,6000,0,2,2,41
7199,36000,1,2,1,41
7200,96000,1,1,2,29
7201,16000,1,2,2,30
7202,28000,1,3,2,24
7203,6000,1,2,2,30
7204,58000,0,1,3,55
7205,22000,1,3,2,45
7206,16000,1,1,1,35
7207,22000,0,1,2,25
7208,4000,0,2,1,42
7209,48000,1,3,1,44
7210,80000,0,1,1,44
7211,24000,0,1,1,34
7212,6000,0,2,2,29
7213,20000,0,3,1,55
7214,28000,0,1,2,37
7215,62000,0,1,2,37
7216,32000,1,3,1,49
7217,22000,1,1,2,25
7218,6000,1,3,2,23
7219,10000,0,2,1,47
7220,4000,0,3,2,24
7221,92000,0,1,2,36
7222,30000,1,1,2,34
7223,10000,1,3,1,53
7224,52000,0,1,1,50
7225,10000,0,3,1,41
7226,10000,1,2,2,27
7227,46000,0,3,2,24
7228,18000,1,2,2,28
7229,4000,1,2,2,22
7230,52000,0,1,2,29
7231,4000,1,2,2,35
7232,30000,1,2,2,29
7233,10000,0,1,2,57
7234,42000,0,2,1,39
7235,72000,0,1,2,27
7236,34000,1,2,2,35
7237,100000,1,2,2,32
7238,16000,0,2,2,31
7239,20000,0,3,2,26
7240,60000,1,2,1,26
7241,40000,1,2,1,49
7242,6000,1,3,1,43
7243,46000,1,3,1,58
7244,16000,0,1,1,46
7245,28000,1,1,2,29
7246,6000,1,3,1,35
7247,6000,1,2,1,36
7248,46000,1,2,1,30
7249,4000,0,2,2,23
7250,72000,1,1,2,27
7251,4000,1,2,2,48
7252,100000,0,1,1,44
7253,76000,0,2,1,39
7254,34000,0,1,2,48
7255,86000,1,1,2,29
7256,64000,0,1,1,39
7257,10000,0,2,2,42
7258,12000,0,2,2,29
7259,72000,1,3,2,38
7260,10000,0,3,1,41
7261,40000,1,2,2,37
7262,92000,1,1,2,36
7263,88000,0,2,2,29
7264,56000,0,2,2,38
7265,4000,0,3,2,39
7266,42000,1,2,2,38
7267,20000,1,3,2,46
7268,48000,0,1,1,46
7269,26000,1,1,2,29
7270,72000,0,1,2,35
7271,42000,1,3,2,36
7272,4000,1,2,2,23
7273,10000,0,2,1,34
7274,20000,1,2,1,39
7275,26000,0,2,2,27
7276,54000,1,1,2,31
7277,10000,1,2,2,24
7278,2000,1,1,2,29
7279,38000,1,2,1,34
7280,10000,0,1,2,27
7281,30000,0,2,2,49
7282,102000,0,3,2,30
7283,22000,1,2,2,24
7284,10000,1,2,1,54
7285,10000,1,2,2,23
7286,72000,1,2,1,29
7287,42000,1,1,2,26
7288,74000,0,2,2,28
7289,72000,1,2,1,33
7290,72000,0,2,2,38
7291,34000,1,1,1,35
7292,14000,0,2,2,26
7293,46000,0,5,1,42
7294,10000,0,1,1,38
7295,40000,0,1,1,41
7296,24000,1,2,2,33
7297,56000,1,3,2,46
7298,60000,1,1,2,29
7299,32000,1,2,2,25
7300,4000,0,1,2,24
7301,24000,0,2,1,41
7302,12000,0,2,1,32
7303,22000,1,1,2,29
7304,10000,1,3,1,43
7305,6000,0,1,2,28
7306,10000,0,2,2,33
7307,12000,0,2,1,42
7308,2000,0,3,2,24
7309,4000,0,2,2,27
7310,16000,0,3,2,32
7311,20000,0,2,2,43
7312,18000,1,3,1,34
7313,10000,1,3,2,60
7314,48000,1,1,2,32
7315,16000,1,2,2,25
7316,16000,1,1,2,30
7317,28000,0,1,1,31
7318,12000,0,2,2,49
7319,22000,0,3,2,27
7320,40000,1,3,1,45
7321,56000,1,2,1,29
7322,72000,0,2,1,33
7323,40000,0,2,2,46
7324,10000,0,1,1,50
7325,80000,1,1,1,32
7326,30000,0,3,1,50
7327,10000,1,3,2,61
7328,30000,0,2,2,35
7329,62000,1,1,1,30
7330,24000,0,2,2,39
7331,18000,1,2,1,44
7332,10000,0,2,1,42
7333,42000,0,1,1,53
7334,60000,1,2,2,42
7335,30000,1,1,2,25
7336,42000,0,1,1,42
7337,6000,0,1,2,34
7338,24000,0,2,2,34
7339,16000,1,1,2,24
7340,16000,1,2,2,25
7341,26000,0,1,2,34
7342,58000,0,2,1,36
7343,48000,1,3,1,33
7344,40000,1,2,1,60
7345,30000,1,2,1,28
7346,60000,0,3,2,29
7347,50000,0,2,1,40
7348,4000,0,3,2,40
7349,74000,1,1,2,34
7350,24000,1,2,2,23
7351,10000,0,2,2,23
7352,38000,1,1,2,27
7353,48000,1,2,1,42
7354,30000,0,2,2,32
7355,36000,1,2,1,35
7356,14000,0,1,2,31
7357,46000,1,1,2,32
7358,72000,0,1,2,27
7359,18000,0,3,1,49
7360,22000,0,2,1,32
7361,20000,1,3,1,53
7362,10000,1,1,1,35
7363,10000,1,2,2,53
7364,36000,1,1,1,28
7365,4000,1,3,2,26
7366,4000,0,2,2,26
7367,4000,1,2,1,23
7368,10000,1,3,1,48
7369,42000,0,2,1,46
7370,98000,0,4,1,51
7371,40000,1,3,2,54
7372,20000,1,2,2,24
7373,50000,0,1,2,56
7374,16000,1,2,1,26
7375,20000,0,3,1,67
7376,6000,1,3,1,41
7377,16000,1,1,2,32
7378,22000,1,2,1,46
7379,36000,1,2,1,30
7380,10000,1,2,1,52
7381,46000,1,2,2,23
7382,68000,0,1,1,41
7383,54000,1,2,1,45
7384,10000,1,1,2,36
7385,26000,1,3,1,43
7386,72000,0,1,1,46
7387,100000,0,2,2,27
7388,20000,1,1,2,25
7389,20000,0,2,1,52
7390,4000,1,2,2,25
7391,10000,1,2,1,45
7392,34000,0,1,1,44
7393,4000,1,1,2,28
7394,14000,0,3,1,50
7395,40000,1,1,1,28
7396,38000,1,1,2,25
7397,44000,0,3,1,58
7398,58000,1,1,2,47
7399,12000,1,1,2,25
7400,20000,1,3,1,50
7401,72000,0,1,1,40
7402,6000,1,2,1,38
7403,4000,0,3,2,28
7404,26000,1,2,2,43
7405,10000,1,2,2,23
7406,22000,0,2,1,48
7407,30000,1,2,1,34
7408,16000,1,2,1,29
7409,64000,0,1,2,35
7410,12000,1,1,2,26
7411,36000,0,1,2,23
7412,94000,0,2,2,29
7413,56000,1,2,1,41
7414,42000,1,1,2,26
7415,60000,0,1,2,30
7416,90000,0,1,1,41
7417,32000,1,2,1,38
7418,10000,1,3,1,45
7419,10000,0,2,1,32
7420,30000,1,1,2,25
7421,18000,0,1,1,53
7422,14000,0,1,2,36
7423,72000,0,2,2,33
7424,40000,1,2,1,34
7425,72000,1,2,2,34
7426,4000,1,2,1,39
7427,50000,1,1,2,28
7428,40000,0,2,2,36
7429,6000,1,3,2,38
7430,100000,1,1,2,39
7431,40000,1,2,1,42
7432,72000,1,2,1,35
7433,10000,1,3,2,44
7434,22000,0,2,1,42
7435,40000,1,3,1,44
7436,14000,1,2,2,39
7437,4000,1,1,2,24
7438,44000,1,1,2,27
7439,36000,0,2,1,40
7440,40000,1,1,1,41
7441,40000,0,3,2,34
7442,80000,1,1,1,38
7443,12000,0,2,2,22
7444,42000,1,2,1,37
7445,40000,0,1,1,32
7446,60000,1,1,2,38
7447,102000,1,1,1,48
7448,32000,1,1,2,32
7449,44000,1,1,2,32
7450,4000,0,2,2,22
7451,82000,0,1,2,31
7452,10000,0,3,1,38
7453,10000,0,3,1,48
7454,14000,1,2,2,29
7455,34000,0,2,1,30
7456,32000,0,1,1,51
7457,6000,1,2,2,22
7458,32000,1,2,1,33
7459,4000,0,2,2,33
7460,50000,1,1,2,35
7461,36000,1,1,2,29
7462,48000,1,2,2,34
7463,6000,1,2,2,25
7464,56000,1,2,2,24
7465,4000,0,1,2,37
7466,26000,1,3,1,54
7467,36000,1,2,1,32
7468,64000,0,1,1,46
7469,6000,1,2,1,33
7470,16000,1,2,2,50
7471,28000,1,2,2,27
7472,36000,0,2,1,27
7473,84000,1,1,2,29
7474,40000,1,1,2,29
7475,28000,1,1,2,25
7476,6000,1,2,2,24
7477,10000,1,1,2,26
7478,30000,1,1,1,45
7479,10000,0,3,2,38
7480,60000,1,1,2,39
7481,16000,1,3,0,34
7482,22000,1,2,1,41
7483,22000,1,1,2,32
7484,78000,1,1,1,34
7485,6000,0,1,1,38
7486,46000,0,1,2,30
7487,42000,1,1,1,44
7488,26000,1,3,1,41
7489,26000,0,3,2,37
7490,96000,1,1,2,27
7491,2000,0,1,2,27
7492,72000,1,2,2,33
7493,52000,1,2,1,28
7494,6000,1,2,1,47
7495,16000,0,2,1,31
7496,24000,1,2,1,29
7497,28000,1,1,2,31
7498,16000,1,2,2,37
7499,40000,0,3,1,44
7500,46000,0,2,1,36
7501,52000,1,1,1,40
7502,10000,1,2,2,28
7503,10000,0,1,2,39
7504,40000,1,3,2,45
7505,56000,1,2,2,36
7506,20000,1,2,1,38
7507,72000,1,1,1,48
7508,6000,1,1,2,23
7509,10000,0,2,2,29
7510,8000,1,1,2,35
7511,6000,0,3,2,58
7512,30000,0,2,2,30
7513,30000,1,2,2,37
7514,72000,1,1,2,47
7515,10000,0,1,2,26
7516,52000,1,1,1,43
7517,70000,1,3,1,32
7518,10000,1,2,1,39
7519,34000,0,2,1,46
7520,10000,1,2,2,24
7521,56000,1,2,2,33
7522,86000,0,2,2,42
7523,68000,1,1,2,30
7524,24000,0,1,1,41
7525,40000,0,2,2,27
7526,100000,1,2,2,41
7527,38000,0,1,2,26
7528,68000,1,3,1,37
7529,78000,1,3,2,30
7530,40000,1,2,1,27
7531,46000,1,1,1,43
7532,20000,1,3,1,39
7533,10000,0,2,1,50
7534,40000,1,1,1,44
7535,10000,1,2,1,39
7536,52000,0,2,1,46
7537,16000,1,1,1,28
7538,4000,0,2,2,30
7539,14000,1,3,2,24
7540,14000,0,1,2,26
7541,80000,0,1,2,38
7542,48000,1,1,2,35
7543,8000,1,2,1,43
7544,102000,1,3,1,61
7545,16000,0,2,2,26
7546,2000,1,1,1,37
7547,10000,1,3,1,61
7548,28000,0,3,1,59
7549,12000,0,2,2,28
7550,20000,0,1,2,27
7551,100000,0,2,1,42
7552,84000,1,2,2,31
7553,26000,1,2,1,36
7554,30000,1,1,2,36
7555,72000,0,1,2,33
7556,46000,1,2,2,29
7557,32000,1,1,1,34
7558,50000,1,2,1,43
7559,34000,0,3,1,40
7560,40000,1,1,1,37
7561,12000,1,2,1,53
7562,60000,0,1,1,44
7563,6000,1,2,2,23
7564,68000,0,2,1,35
7565,18000,0,2,2,31
7566,30000,0,1,2,31
7567,14000,0,3,1,47
7568,150000,1,1,1,41
7569,46000,1,2,1,39
7570,36000,1,3,1,43
7571,42000,1,2,1,40
7572,6000,1,2,2,26
7573,6000,0,1,2,24
7574,18000,1,2,1,33
7575,48000,1,1,2,28
7576,56000,1,1,1,63
7577,82000,1,3,2,31
7578,52000,0,1,1,40
7579,6000,1,2,1,51
7580,2000,0,2,1,23
7581,30000,1,1,2,37
7582,6000,0,2,1,24
7583,72000,1,1,2,44
7584,12000,0,1,2,28
7585,10000,1,2,2,31
7586,10000,1,1,2,42
7587,2000,0,2,2,24
7588,22000,1,3,1,48
7589,44000,1,1,2,29
7590,18000,1,2,2,26
7591,30000,1,3,1,48
7592,16000,1,2,2,26
7593,10000,0,2,2,33
7594,4000,0,2,1,38
7595,10000,0,2,2,29
7596,56000,1,1,1,36
7597,26000,1,2,1,37
7598,14000,1,1,1,25
7599,100000,0,2,2,33
7600,8000,0,2,2,35
7601,8000,1,2,1,45
7602,8000,1,1,2,24
7603,10000,1,2,2,26
7604,62000,1,2,2,44
7605,16000,1,2,2,27
7606,42000,0,2,2,26
7607,10000,1,1,2,23
7608,12000,1,2,1,36
7609,32000,1,3,2,54
7610,80000,0,1,2,31
7611,4000,1,3,2,35
7612,10000,1,2,1,47
7613,40000,1,2,1,41
7614,12000,1,2,2,48
7615,56000,1,2,2,30
7616,40000,1,2,2,28
7617,2000,1,1,2,22
7618,16000,0,1,2,28
7619,88000,0,1,2,35
7620,4000,0,3,2,24
7621,100000,1,1,2,30
7622,6000,0,1,2,24
7623,24000,1,1,2,23
7624,24000,1,3,2,50
7625,28000,0,2,1,40
7626,2000,1,2,2,22
7627,24000,1,1,1,39
7628,14000,1,2,2,26
7629,14000,1,2,2,40
7630,82000,1,3,1,48
7631,72000,0,1,1,57
7632,4000,1,3,1,34
7633,18000,1,3,1,49
7634,12000,1,2,1,30
7635,42000,1,1,2,30
7636,8000,1,2,2,25
7637,26000,1,3,1,42
7638,6000,0,2,1,39
7639,76000,0,3,1,52
7640,30000,1,3,1,40
7641,34000,0,1,2,27
7642,72000,0,3,1,41
7643,100000,1,1,1,38
7644,48000,1,1,1,33
7645,42000,1,2,1,38
7646,22000,1,2,1,28
7647,36000,1,1,2,34
7648,10000,1,2,1,41
7649,36000,0,1,2,32
7650,10000,0,1,2,25
7651,40000,1,1,2,29
7652,24000,1,1,2,27
7653,26000,0,2,2,32
7654,24000,1,2,2,48
7655,70000,1,1,1,46
7656,16000,0,2,2,26
7657,10000,1,1,0,45
7658,4000,1,2,2,46
7659,32000,1,2,1,34
7660,10000,0,3,1,41
7661,44000,1,1,2,30
7662,6000,0,3,1,52
7663,16000,1,3,1,46
7664,2000,0,2,2,23
7665,10000,0,3,2,25
7666,12000,0,1,3,47
7667,10000,0,2,2,41
7668,24000,0,2,2,32
7669,16000,1,3,3,60
7670,22000,0,1,2,33
7671,10000,1,2,2,22
7672,10000,0,3,1,38
7673,64000,0,1,1,42
7674,36000,1,2,2,35
7675,10000,0,2,2,25
7676,62000,0,2,1,36
7677,32000,0,3,1,62
7678,44000,1,2,1,33
7679,28000,0,2,1,41
7680,12000,0,2,2,24
7681,4000,0,3,2,28
7682,20000,1,1,1,27
7683,52000,0,2,2,30
7684,10000,0,3,1,38
7685,64000,0,1,2,29
7686,24000,1,2,1,35
7687,100000,1,1,1,41
7688,44000,0,1,1,32
7689,36000,1,3,1,56
7690,46000,1,2,2,33
7691,44000,1,1,2,36
7692,10000,0,1,2,23
7693,20000,0,2,1,41
7694,72000,0,1,1,32
7695,20000,1,1,2,25
7696,34000,1,1,2,24
7697,16000,1,2,2,26
7698,100000,1,2,1,32
7699,4000,0,1,3,47
7700,6000,1,2,2,26
7701,72000,0,1,1,44
7702,48000,0,1,1,50
7703,10000,1,3,1,36
7704,12000,1,3,1,29
7705,42000,1,1,2,25
7706,66000,0,2,1,42
7707,76000,1,1,2,27
7708,100000,1,2,1,34
7709,6000,1,3,1,35
7710,72000,1,1,1,33
7711,62000,1,1,2,28
7712,12000,1,2,2,26
7713,28000,1,1,1,33
7714,44000,1,1,1,41
7715,80000,0,1,2,29
7716,16000,0,2,2,35
7717,30000,1,3,1,33
7718,10000,0,1,2,26
7719,42000,0,2,2,25
7720,18000,0,1,2,30
7721,64000,0,1,2,31
7722,62000,0,2,2,24
7723,10000,1,2,2,23
7724,24000,0,1,2,41
7725,4000,0,2,1,47
7726,36000,1,3,1,43
7727,24000,1,2,1,39
7728,42000,1,1,1,51
